State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Urban_Households,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Having_latrine_facility_within_the_premises_Total_Households,sex_ration,Literacy_rate
Rajasthan,Sikar,27.64644059,75.29317423,111,2677333,1374990,1302343,1652117,995275,131342,339457,5647,28382,178274,1859871,967497,2827368,1672813,605002,76325,22494,77340,10754,222955,947.0,61.71
Rajasthan,Sirohi,24.79769053,72.75309132,117,1036346,534231,502115,476806,309900,47182,134089,2146,10297,69639,497001,577092,1074093,649290,244401,52893,6343,38817,4483,54218,940.0,46.01
Rajasthan,Tonk,26.15393507,75.79192216,120,1421326,728136,693190,749659,478329,32359,158264,1908,12482,81755,816124,661902,1478026,880194,334006,93547,6295,68174,4140,49974,952.0,52.74
Rajasthan,Udaipur,24.44076752,73.8402984,130,3068420,1566801,1501619,1582629,973444,128320,357846,14211,48517,182769,1535470,1528671,3064141,1876436,739287,145780,27979,157259,27786,150738,958.0,51.58
Sikkim,East,27.29600353,88.74908392,93,1709346,907500,801846,1352998,748382,327253,352758,80037,127465,461132,1334283,169693,1503976,948963,497157,103064,87499,162670,102512,331089,884.0,79.15
Tamil Nadu,Ariyalur,11.19051484,79.22249644,616,754894,374703,380191,480604,269582,39642,177502,1749,8371,30322,532701,233438,766139,380484,216103,104900,2937,40913,3046,35933,1015.0,63.67
Tamil Nadu,Chennai,13.05809891,80.28139152,603,4646732,2335844,2310888,3776276,1968079,910262,1096334,217368,355838,1314125,3642032,419065,4061097,2271657,1468902,409796,146388,515581,264763,1057802,989.0,81.27
Tamil Nadu,Coimbatore,10.871377,77.07619012,632,3458045,1729297,1728748,2635907,1394790,675153,896325,63273,149920,884957,2504188,519919,3024107,1579517,1117221,353990,87211,445588,109489,630809,1000.0,76.23
Tamil Nadu,Cuddalore,11.57587301,79.63002365,617,2605914,1311697,1294217,1815281,1000322,244610,598412,15396,50938,260780,1868837,634041,2502878,1364411,764669,343988,19828,178515,27077,230004,987.0,69.66
Tamil Nadu,Dharmapuri,12.3001412,78.11509813,630,1506843,774303,732540,917709,527599,104785,337972,3651,18927,91107,1011099,512824,1523923,804186,434328,164521,5843,107968,7687,72402,946.0,60.9
